date,n_trades,total_pnl,total_volume,win_rate,avg_trade_size,fg_value,n_accounts,pnl_per_volume_bps
2024-07-01,64,5065.839308,362670.14999999997,100.0,5666.721093749999,53.0,2,139.68172754223087
2024-07-02,18,2421.253116,33347.47,100.0,1852.6372222222224,51.0,1,726.0680093572315
2024-07-03,18,1118.387284,179600.66,100.0,9977.814444444444,50.0,2,62.27077806952379
2024-07-04,25,0.0,430568.01,,17222.720400000002,44.0,2,0.0
2024-07-05,32,0.0,272289.89,,8509.0590625,29.0,2,0.0
2024-07-06,24,108.87217799999999,2490.17,100.0,103.75708333333334,26.0,1,437.2078131211925
2024-07-07,10,61.428942,498.75,100.0,49.875,29.0,1,1231.6579849624059
2024-07-08,1,0.0,497.64,,497.64,28.0,1,0.0
2024-07-09,15,648.984412,2736.45,100.0,182.42999999999998,27.0,1,2371.628979151821
2024-07-10,56,11977.734907,687900.21,100.0,12283.93232142857,28.0,2,174.12023914049976
2024-07-11,19,1876.812082,169887.02,100.0,8941.422105263156,29.0,1,110.47413051332586
2024-07-12,19,1412.314654,89582.97,100.0,4714.893157894737,25.0,2,157.65436823539116
2024-07-13,17,2913.617837,139189.19,100.0,8187.599411764706,25.0,2,209.32788221556572
2024-07-14,7,0.0,84001.13,,12000.16142857143,33.0,1,0.0
2024-07-15,26,-1.0,198344.85,0.0,7628.6480769230775,52.0,2,-0.05041724047788485
2024-07-16,22,0.0,144000.57,,6545.480454545454,65.0,1,0.0
2024-07-17,351,1859.269477,626005.53,93.54838709677419,1783.4915384615385,69.0,3,29.70052799693319
2024-07-18,60,3803.884311,649704.85,100.0,10828.414166666666,61.0,2,58.54788233457084
2024-07-19,23,2155.891114,150269.42,100.0,6533.453043478262,60.0,2,143.4683859164426
2024-07-20,266,2299.169566,244362.21,91.66666666666666,918.65492481203,74.0,2,94.08858947543486
2024-07-21,448,-2960.716887,234307.46,8.898305084745763,523.0077232142856,74.0,2,-126.36033385364684
2024-07-22,154,1517.119876,304213.8,20.754716981132077,1975.4142857142856,70.0,2,49.87018590215171
2024-07-23,370,89890.302206,358526.54,90.38461538461539,968.9906486486486,71.0,3,2507.2147296543235
2024-07-24,90,625.561479,69207.93,100.0,768.977,69.0,5,90.3886995319756
2024-07-25,78,916.7382600000001,528555.31,100.0,6776.350128205129,68.0,3,17.344225715942574
2024-07-26,152,2766.513113,548587.65,100.0,3609.1292763157894,68.0,4,50.429737399301644
2024-07-27,57,6400.623656,905199.75,100.0,15880.697368421053,72.0,2,70.70951639127165
2024-07-28,16,587.29903,43254.68,100.0,2703.4175,71.0,2,135.77699106778735
2024-07-29,39,330.80445399999996,327199.14,100.0,8389.72153846154,74.0,2,10.110187147802405
2024-07-30,6,0.0,36006.47,,6001.078333333334,67.0,1,0.0
2024-07-31,43,765.690884,84506.54,100.0,1965.2683720930231,61.0,2,90.60729311601209
2024-08-01,57,167.080017,227774.53,57.14285714285714,3996.044385964912,52.0,4,7.3353248495343175
2024-08-02,63,782.3681909999999,396320.37,100.0,6290.799523809524,57.0,3,19.740801892166175
2024-08-03,37,464.1897,290532.86,100.0,7852.239459459459,37.0,5,15.977184129877772
2024-08-04,127,-122672.000883,1207744.07,4.615384615384616,9509.795826771655,34.0,5,-1015.7118873951498
2024-08-05,80,-13013.665169,420495.4,86.8421052631579,5256.1925,26.0,4,-309.4841267942527
2024-08-06,107,267.318048,61478.38,50.0,574.5642990654205,17.0,2,43.48163500729849
2024-08-07,33,188.789255,2492.77,100.0,75.53848484848484,29.0,3,757.3472682999234
2024-08-08,9,-40.712216999999995,16299.35,0.0,1811.038888888889,20.0,2,-24.977816293287766
2024-08-09,144,18082.071276,503204.86,74.13793103448276,3494.4781944444444,48.0,5,359.33816847476396
2024-08-10,88,0.0,11339.29,,128.8555681818182,40.0,2,0.0
2024-08-11,24,847.7766200000001,44230.21,100.0,1842.9254166666667,39.0,2,191.67365924783087
2024-08-12,48,858.6705000000001,54167.32,100.0,1128.4858333333334,25.0,3,158.5218725977213
2024-08-13,23,212.08102,20797.87,100.0,904.2552173913043,31.0,3,101.97247121940853
2024-08-14,25,2168.9015130000003,66710.03,100.0,2668.4012,30.0,3,325.1237502066781
2024-08-15,12,0.0,1522.3700000000001,,126.86416666666668,29.0,1,0.0
2024-08-16,35,825.230544,166382.84,100.0,4753.795428571429,27.0,2,49.59829655510148
2024-08-17,30,-288.283113,30248.96,0.0,1008.2986666666667,25.0,2,-95.30347919399544
2024-08-18,15,307.201888,62804.48,100.0,4186.965333333334,31.0,2,48.91400868218318
2024-08-19,8,339.69958299999996,100315.03,100.0,12539.37875,28.0,1,33.86327881275617
2024-08-20,12,192.602844,49914.8,100.0,4159.566666666667,30.0,2,38.58631988909101
2024-08-21,145,656.200925,104990.41,100.0,724.0717931034483,26.0,2,62.50103461830466
2024-08-23,10,1005.30527,63509.56,100.0,6350.956,34.0,1,158.2919595097179
2024-08-24,7,0.0,34999.67,,4999.952857142857,56.0,2,0.0
2024-08-25,17,0.0,21950.28,,1291.1929411764704,54.0,2,0.0
2024-08-26,6,231.236918,92611.27,100.0,15435.211666666668,55.0,2,24.968550587849624
2024-08-27,50,0.0,70250.16,,1405.0032,48.0,2,0.0
2024-08-28,9,1333.359645,71160.06999999999,100.0,7906.674444444444,30.0,2,187.37469552798362
